Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
Restaurant Les Cocottes;Hôtel restaurant;Cuisine traditionnelle;;5 rue de la Croix;Les Rosiers-sur-Loire;49350;;;GENNES-VAL-DE-LOIRE;49261;47.350422;-0.226181;Itinéraire de randonnée||||;;02 41 51 80 30;;loirehotel-lescocottes@outlook.fr;https://www.loirehotel-lescocottes.fr;;"Facebook||https://www.facebook.com/LoireHotel ; Google+||https://www.google.com/maps/place/Logis+H%C3%B4tel+Loire+H%C3%B4tel/@47.3504408,-0.2261364,15z/data=!4m9!3m8!1s0x0:0x1597b30596e04cf5!5m3!1s2022-11-07!4m1!1i2!8m2!3d47.3504431!4d-0.2261425?hl=fr ; Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g425086-d23238003-Reviews-Loire_Hotel-Les_Rosiers_sur_Loire_Maine_et_Loire_Pays_de_la_Loire.html";;;;;;oui;;Logis,Qualité Tourisme;Chaise haute / Réhausseur,Climatisation,WiFi;35;2;;;2;;Anglais,Français;;;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Chèques bancaires et postaux,Tickets Restaurant;47.350422, -0.226181;Maine-et-Loire
Restaurant les Enfants Terribles;Restaurant;Brasserie;;55 rue Saint-Martin;BEAUPREAU;49600;;;BEAUPREAU-EN-MAUGES;49023;47.2043399;-0.9811466;"Autoroute||Sortie Chemillé||20 ; Aéroport/aérodrome||Nantes||50 ; Gare SNCF||Cholet||20";;09 81 32 13 66;;lesenfantsterriblesbeaupreau1@gmail.com;https://lesenfantsterribles.eatbu.com/;;;;;;;;oui;;;Service en terrasse,WiFi;;1;;;;;Anglais,Français;oui;;;oui;;||09 81 32 13 66||lesenfantsterribles.beaupreau1@gmail.com;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.2043399, -0.9811466;Maine-et-Loire
RESTAURANT LES LILAS;Restaurant;Cuisine traditionnelle;;65 Route de Tours;;72220;;;ECOMMOY;72124;47.8250442;0.28692514;Autoroute||A28, sortie N°25 Ecommoy||1;;02 43 87 89 63;;;;;Facebook||https://www.facebook.com/Les-Lilas-100458831333761/?ref=page_internal;;;;;;;;;;;;;;;;;;;;oui;01/01/2026||31/12/2099||||||07:30||13:30||||||07:30||13:30||||||07:30||13:30||||||07:30||13:30||||||07:30||13:30||||||||||||||||||||;Les Lilas||02 43 87 89 63||terrien.vio@gmail.com;;;;;47.8250442, 0.28692514;Sarthe
Restaurant Les Planches du Loir;Restaurant;Cuisine traditionnelle;;4 ter, rue du Commerce;;49140;;;CORZE;49110;47.5601313;-0.3914318;"Autoroute||A11 Sortie 12 Seiches-sur-le-Loir||6,3 ; Aéroport/aérodrome||Angers Loire Métropole||7 ; Gare SNCF||Gare de Tiercé||11,5";07 67 68 35 55;02 41 60 94 72;;lesplanchesduloir@outlook.fr;https://les-planches-du-loir-restaurant-corze.eatbu.com;;;;;;;;oui;;;Chaise haute / Réhausseur,Climatisation,Service en terrasse,WiFi;30;1;40;;;;Anglais,Français;oui;;;oui;01/01/2026||31/12/2026||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;DUPLEIC Camille||02 41 60 94 72||lesplanchesduloir@outlook.fr;;;"Menu adulte du jour (midi en semaine)||16,00|||| ; Menu adulte soir et week-end||20,00||30,00||";Cartes bancaires,Espèces,Tickets Restaurant;47.5601313, -0.3914318;Maine-et-Loire
Restaurant les Terrasses de Saumur;Hôtel restaurant;Restaurant gastronomique - cuisine raffinée;;2 rue des Lilas;Saint-Hilaire-Saint-Florent;49400;;;SAUMUR;49328;47.262539;-0.111781;;;02 41 67 28 48;;contact@lesterrassesdesaumur.fr;https://www.lesterrassesdesaumur.fr;;"Facebook||https://www.facebook.com/lesterrassesdesaumur/ ; Instagram||https://www.instagram.com/lesterrassesdesaumur/";;;;;;oui;Tenue en laisse obligatoire sur le site;Logis,Qualité Tourisme;Chaise haute / Réhausseur,Service en terrasse,WiFi;100;2;100;;;;Anglais,Français;oui;;120;;01/01/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Alines (Les Terrasses de Saumur)||||;;;"Menu adulte du jour (midi en semaine)||27,00||38,00|| ; Menu enfant||15,00||15,00||";Tickets Restaurant;47.262539, -0.111781;Maine-et-Loire
Restaurant Mac'Licorne;Restaurant;Restauration rapide;;1 bis Rue Bernard Palissy;;72270;;;MALICORNE-SUR-SARTHE;72179;47.81298;-0.08129;;06 79 61 71 16;02 85 85 95 30;;;https://maclicorne.fr/;;"Facebook||https://www.facebook.com/Maclicorne ; Instagram||https://www.instagram.com/maclicorne/";;;Le petit futé;;;oui;;;Plats à emporter,Service en terrasse,WiFi;24;1;50;0;0;;Anglais,Espagnol,Français;non;;;oui;"01/01/2026||31/08/2026||||Fermé les lundis et mardis||||||||||||||||||11:45||14:00||18:45||21:30||11:45||14:00||18:45||21:30||11:45||14:00||18:45||21:30||11:45||14:00||18:45||21:30||11:45||14:00||18:45||21:30 ; 14/09/2026||31/12/2026||||Fermé les lundis et mardis||||||||||||||||||11:45||14:00||18:45||21:30||11:45||14:00||18:45||21:30||11:45||14:00||18:45||21:30||11:45||14:00||18:45||21:30||11:45||14:00||18:45||21:30";;;;"Plats à la carte||5,00||9,30|| ; Menu adulte du jour (midi en semaine)||9,80||12,80|| ; Menu adulte soir et week-end||9,80||12,80|| ; Menu enfant||5,30||5,30||";Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.81298, -0.08129;Sarthe
Restaurant Maison Crand;Restaurant;Restaurant gastronomique - cuisine raffinée;;1 bis Place des Piliers;Champtoceaux;49270;;;OREE D'ANJOU;49069;47.3372308;-1.2678573;"Gare SNCF||Gare d'Ancenis||15 ; Route (nationale/départ.)||D723 Nantes/Angers, sortie à Oudon||5";;02 40 83 56 23;;;https://www.maisoncrand.com/;;Google+||https://g.co/kgs/zuRJa39;;;;;;oui;sous conditions;;Bon cadeau,Service en terrasse,Traiteur;30;2;10;1;;;Anglais;oui;;;oui;05/01/2026||31/12/2026||||Fermé le lundi, mardi et dimanche soir||||||||||||||||||12:00||14:30||19:00||20:45||12:00||14:30||19:00||20:45||12:00||14:30||19:00||20:45||12:00||14:30||19:00||20:45||12:00||14:30||||;Maison Crand||02 40 83 56 23||;;;Menu adulte soir et week-end||43,00||55,00||;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.3372308, -1.2678573;Maine-et-Loire
Restaurant marocain L'Oudaya;Restaurant;Cuisine du Monde;;37 rue Pasteur;Segré;49500;;;SEGRE-EN-ANJOU BLEU;49331;47.685236;-0.8724146;;06 16 76 02 55;;;;;;;;;;;;;;;;;;;;;;;;;;oui;01/03/2026||31/12/2026||||||12:00||14:00||19:00||21:00||||||||||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00;L'Oudaya||06 16 76 02 55||;;;Plats à la carte||5,50||25,00||;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.685236, -0.8724146;Maine-et-Loire
Restaurant Pizzeria l'Assiette Italienne;Restaurant;Pizzeria;;63 rue des Forges;;44330;;;VALLET;44212;47.1607977;-1.2684187;;;02 40 36 36 40;;;http://www.lassiette-italienne.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.1607977, -1.2684187;Loire-Atlantique
Restaurant Pot Potes;Restaurant;Cuisine traditionnelle;;25 place du marché;;49260;;;MONTREUIL-BELLAY;49215;47.132231;-0.156041;;;02 41 40 92 34;;contact.potpotes@gmail.com;;;Facebook||https://www.facebook.com/people/Pot-Potes/100090573039941/;;;;;;oui;;;;36;2;36;;;;Anglais,Français;;;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Chèques bancaires et postaux,Tickets Restaurant;47.132231, -0.156041;Maine-et-Loire
Restaurant Resto Novo;Hôtel restaurant;Cuisine traditionnelle;;9, avenue Charles de Gaulle;;72300;;;SABLE-SUR-SARTHE;72264;47.8208753;-0.288913;"Autoroute||Sortie Sablé/La Flèche||25 ; Gare SNCF||||2 ; Transport en commun||||0";;02 43 95 30 53;;hid.sable@gmail.com;https://www.hotel-inn-sable.fr/;;Instagram||https://www.instagram.com/hotelinn72/;;;;;;oui;;;Banquet,Séminaire,Service en terrasse,WiFi;50;1;12;1;0;;Anglais,Français;oui;20;55;oui;01/01/2026||31/12/2026||||Fermé le week end et jours fériés||12:00||13:45||19:00||21:00||12:00||13:45||19:00||21:00||12:00||13:45||19:00||21:00||12:00||13:45||19:00||21:00||12:00||13:45||19:00||21:00||||||||||||||||;SEBILLE||02 43 95 30 53||hid.sable@gmail.com;;;"Menu adulte du jour (midi en semaine)||15,00||21,00|| ; Menu adulte soir et week-end||19,00||21,00|| ; Menu enfant||10,00||||";Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.8208753, -0.288913;Sarthe
Restaurant SCAPA;Restaurant;Restaurant gastronomique - cuisine raffinée;;10 Bis Av. de la Mer;;44500;;;LA BAULE-ESCOUBLAC;44055;47.28122;-2.38038;;;;;INFO@cimesbleues.com;;;;;;;;;;;;;;;;;;;;;;;;01/01/2026||31/12/2026||||||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00;;;;;;47.28122, -2.38038;Loire-Atlantique
RESTAURANT TRAITEUR L'HOSTELLERIE DE LA JUHEL;Hôtel restaurant;Cuisine traditionnelle;;27, rue Jules Doiteau;;53700;;;VILLAINES-LA-JUHEL;53271;48.3444145;-0.2766894;"Autoroute||A81||30 ; Aéroport/aérodrome||||60 ; Gare SNCF||||30 ; Itinéraire de randonnée||GR® de pays Tour du Mont des Avaloirs||0,7";07 43 35 78 82;02 43 03 23 24;;;https://www.facebook.com/profile.php?id=61562561461204;;;;;;;;oui;;;Banquet,Plats à emporter,Service en terrasse,Traiteur,WiFi;58;1;14;;;;Anglais,Français;oui;;52;oui;19/03/2026||31/12/2030||||||11:00||15:00||18:00||22:00||11:00||15:00||18:00||22:00||11:00||15:00||18:00||22:00||11:00||15:00||18:00||22:00||11:00||15:00||18:00||22:00||11:00||15:00||18:00||22:00||11:00||15:00||18:00||22:00;;;;Menu adulte du jour (midi en semaine)||14,90||||;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;48.3444145, -0.2766894;Mayenne
RESTAURANT TRAITEUR LA CENTAURÉE;Restaurant;Cuisine traditionnelle;;13, rue d'Andouillé;;53240;;;SAINT-GERMAIN-LE-GUILLAUME;53225;48.2059837;-0.8244756;;;02 43 26 23 30;;la-centauree@orange.fr;;;Facebook||https://www.facebook.com/pages/La-Centaur%C3%A9e/451128718558068;;;;;;oui;;;Plats à emporter,Traiteur,WiFi;70;;;;;;;oui;;;;||||Ouvert du lundi au vendredi midi. Le week end sur réservation||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 43 26 23 30||la-centauree@orange.fr;;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;48.2059837, -0.8244756;Mayenne
Restaurant Une Table avec Plaisir;Restaurant;Cuisine traditionnelle;;9 Place de l'Eglise;La Chapelle Basse-Mer;44450;;;DIVATTE-SUR-LOIRE;44029;47.2722389;-1.3377936;;;06 36 21 45 98;;contact@unetableavecplaisir.fr;https://unetableavecplaisir.fr/;"https://unetableavecplaisir.fr/nous-contacter/ ; https://www.facebook.com/unetableavecplaisir/videos/826068982149321 ; https://www.facebook.com/unetableavecplaisir/videos/516763199882096 ; https://www.facebook.com/unetableavecplaisir/videos/427414852606506 ; https://unetableavecplaisir.fr/nos-partenaires/";"Instagram||https://www.instagram.com/utap44450/ ; Facebook||https://www.facebook.com/unetableavecplaisir";;"Au restaurant Une Table avec Plaisir<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span> ; Partenariat avec le Cinéma Jacques Demy<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span> ; Soirée : Plaisirs de découverte - concert avec l'Art Prise<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span> ; Soirée : Plaisirs et découverte - concert Nini Poulain<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span> ; Formule groupe ""de l'empreinte du cep à l'assiette""<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";;;;;;;Service en terrasse;;1;;;;;Français;oui;8;;oui;01/01/2026||31/12/2027||||Fermé les samedis et dimanches ||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||19:00||22:00||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.2722389, -1.3377936;Loire-Atlantique
Restaurant Vertical'Art;Restaurant;Cuisine traditionnelle;;30 Boulevard d'Estienne d'Orves;;72100;;;LE MANS;72181;47.98505;0.18369;;;02 43 88 87 42;;lemans@vertical-art.fr;https://lemans.vertical-art.fr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.98505, 0.18369;Sarthe
Restaurant-pizzéria LA PAUSE DES ANGES;Restaurant;Pizzeria;;2 chemin de l'Oratoire;;53340;;;SAULGES;53257;47.984442;-0.4149348;;07 71 70 39 65;02 53 22 39 41;;captainrouge53@hotmail.com;;;Facebook||https://www.facebook.com/people/Restaurant-Pizzeria-La-pause-des-anges/61559158781691/?_rdr;;;;;;;;;Plats à emporter,Service en terrasse;20;1;60;;;;Français;oui;;;non;01/04/2026||30/09/2026||Fermé jusqu'au 31 mars 2026 et d'octobre à décembre 2026||||||||||||12:00||14:30||17:00||20:30||12:00||14:30||17:00||20:30||12:00||14:30||17:00||20:30||12:00||14:30||17:00||21:30||12:00||||||21:30||12:00||||||19:00;||02 53 22 39 41||;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.984442, -0.4149348;Mayenne
Restaurant/Bar à vins Gargamelle;Restaurant;Cuisine traditionnelle;;35 rue Rabelais;;49400;;;SAUMUR;49328;47.254075;-0.065473;Transport en commun||||;;02 41 67 12 86;;caveamanger@gargamelle.fr;https://lepotdelapin-saumur.com/;;"Facebook||https://www.facebook.com/profile.php?id=61575986987959 ; Instagram||https://www.instagram.com/gargamelle_bouchon_saumur/?utm_source=ig_web_button_share_sheet";;;;;;oui;En terrasse uniquement;;Chaise haute / Réhausseur,Service en terrasse,WiFi;46;2;34;;;;Anglais,Français;;;34;;07/08/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Tickets Restaurant;47.254075, -0.065473;Maine-et-Loire
Resto-Troc;Restaurant;Brasserie;;18 rue Louis Boisramé;;49000;;;ANGERS;49007;47.47832;-0.58423;;;02 41 73 88 12;;contact@resto-troc.fr;https://resto-troc.fr/;;;;;;;;;;;Traiteur,WiFi;70;;;;;;Français;;;;;"02/01/2025||31/12/2025||||||09:00||16:00||||||09:00||16:00||||||09:00||16:00||||||09:00||16:00||||||09:00||16:00|||||||||||||||||||| ; 01/01/2026||31/12/2026||||||09:00||16:00||||||09:00||16:00||||||09:00||16:00||||||09:00||16:00||||||09:00||16:00||||||||||||||||||||";;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.47832, -0.58423;Maine-et-Loire
Rice Cooker;Restaurant;Cuisine du Monde;;5 Rue Saint-Jean;;44170;;;NOZAY;44113;47.56623;-1.62648;;;09 53 93 33 58;;contact@lericecooker.com;https://www.facebook.com/p/Le-Rice-Cooker-100083365747130/;;Facebook||https://www.facebook.com/p/Le-Rice-Cooker-100083365747130/;;;;;;oui;Animaux acceptés à condition qu'ils restent bien aux pieds de leur maître;;Plats à emporter,Traiteur;;;;;;;;oui;;12;;||||||||11:00||14:30||16:00||22:00||11:00||14:30||16:00||19:00||11:00||14:30||16:00||19:00||11:00||14:30||16:00||22:00||11:00||14:30||16:00||22:00||11:00||14:30||16:00||22:00||||||||;||09 53 93 33 58||;;;;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.56623, -1.62648;Loire-Atlantique
Salon de thé Le Colibri fait son nid;;Coffee-shop;;6 rue Saint Jean;;49400;;;SAUMUR;49328;47.259746;-0.075937;;;09 73 26 81 78;;lecolibrifaitsonnid@hotmail.com;;;"Facebook||https://www.facebook.com/lecolibrifaitsonnid ; Google+||https://maps.google.com/?cid=465443377271277009 ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g187199-d15855617-Reviews-Le_Colibri_Fait_Son_Nid-Saumur_Maine_et_Loire_Pays_de_la_Loire.html ; Instagram||https://www.instagram.com/le.colibri.fait.son.nid/";;;;;;oui;Il faut que le chien soit de petite taille et calme.;;Service en terrasse;;;;;;;Français;;;;;02/01/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.259746, -0.075937;Maine-et-Loire
Salon de thé Maison Gaspard;;Coffee-shop;;28 rue de la Tonnelle;;49400;;;SAUMUR;49328;47.258972;-0.075034;;;02 41 03 98 52;;hello@maison-gaspard.fr;https://www.maison-gaspard.fr;;Facebook||https://www.facebook.com/MaisonGaspard;;;;;;oui;;;Service en terrasse;;;;;;;Anglais,Français;;;;;02/01/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires;47.258972, -0.075034;Maine-et-Loire
Santosha;Restaurant;Cuisine du Monde;;3 rue Saint-Laud;;49100;;;ANGERS;49007;47.47283;-0.5519;;;02 41 18 15 27;;;https://santosha.cool/santosha-angers/;;Instagram||https://www.instagram.com/santosha.angers/?hl=en;;;;;;oui;;;Plats à emporter,Service en terrasse;49;2;35;;;;Anglais,Espagnol,Français;oui;;20;;"01/01/2024||31/12/2024||||||12:00||15:00||19:00||23:00||12:00||15:00||19:00||23:00||12:00||15:00||19:00||23:00||12:00||15:00||19:00||23:00||12:00||15:00||19:00||23:00||12:00||15:30||19:00||23:00||12:00||15:00||19:00||23:00 ; 01/01/2025||31/12/2025||||||12:00||15:00||19:00||23:00||12:00||15:00||19:00||23:00||12:00||15:00||19:00||23:00||12:00||15:00||19:00||23:00||12:00||15:00||19:00||23:00||12:00||15:30||19:00||23:30||12:00||15:00||19:00||23:00 ; 01/01/2026||31/12/2026||||||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||15:30||19:00||23:00||12:00||14:30||19:00||22:30";;;;;Cartes bancaires,Espèces,Tickets Restaurant,Carte Ticket Restaurant;47.47283, -0.5519;Maine-et-Loire
Seurfiñ Store Café Cowork;Restaurant;Salon de thé;;Place des Océanes;52 boulevard des Océanides;44380;;;PORNICHET;44132;47.26508;-2.34378;;06 63 59 35 50;02 40 90 34 69;;contact@oceancafecowork.com;https://www.seurfin.com/;;;;;;;;;;;WiFi;;;;;;;;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.26508, -2.34378;Loire-Atlantique
Signorizza 24/7;Food Truck;Pizzeria;Parc commercial de la Colleraye;;;44260;;;SAVENAY;44195;47.3717724;-1.9368216;;;02 40 13 27 13;;contact@signorizza.fr;https://www.signorizza.com/;;"Facebook||https://www.facebook.com/signorizza.savenay ; Instagram||https://www.instagram.com/signorizza.savenay/";;;;;;non;;;Plats à emporter,Traiteur,WiFi;250;2;;0;2;;Anglais,Français;oui;;56;oui;"||||Tous les jours de 11h00 à 22h00||||11:00||22:00||11:00||22:00||11:00||22:00||11:00||22:00||11:00||22:00||11:00||22:00||11:00||22:00||11:00||22:00||11:00||22:00||11:00||22:00||11:00||22:00||11:00||22:00||11:00||22:00||11:00||22:00 ; ||||||||11:30||14:30||19:00||22:00||11:30||14:30||19:00||22:00||11:30||14:30||19:00||22:00||11:30||14:30||19:00||22:00||11:30||14:30||19:00||22:30||11:30||14:30||19:00||22:30||19:00||22:00||||";;oui;||https://commandes.signorizza.com/home/1324/2/menu||||02 40 58 83 11||;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.3717724, -1.9368216;Loire-Atlantique
SOUS LES PALMIERS;Restaurant;Restauration rapide;;8 boulevard de Verdun;;44600;;;SAINT-NAZAIRE;44184;47.2714659;-2.204256;"Bord de mer|||| ; Gare SNCF||||2,4 ; Transport en commun||Ligne U2 - Arrêt: Quatzhorloges||0,5 ; Transport en commun||Ligne U4 - Arrêt : Petit Maroc||0,24";;;;;;;Facebook||https://www.facebook.com/souslespalmierslaplage/?fref=ts;;;;;;oui;;;Service en terrasse,WiFi;25;;20;;;;Anglais;non;;12;oui;01/01/2026||31/12/2026||Ouvert du mardi au dimanche||Fermé le lundi||||||||||09:30||||||22:00||09:30||||||22:00||09:30||||||22:00||09:30||||||22:00||09:30||||||22:00||09:30||||||19:00;||02 40 22 13 97||cafesouslespalmiers@gmail.com;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.2714659, -2.204256;Loire-Atlantique
Syracuse;Restaurant;Pizzeria;Zone commerciale Espace 23;992 Boulevard de la Prairie;;44150;;;ANCENIS-SAINT-GEREON;44003;47.3753869;-1.2015573;"Autoroute||A11||4 ; Gare SNCF||ANCENIS||1,3";;02 40 09 77 50;;syracuseancenis@outlook.fr;http://syracusepizzeria.fr/;;Facebook||https://www.facebook.com/Syracuseatelierpizzas/?locale=fr_FR;;;;;;oui;;;Banquet,Climatisation,Livraison à domicile,Plats à emporter,Service en terrasse,WiFi;80;1;40;0;1;;Anglais,Français;oui;2;50;oui;||||||Fermeture dimanche midi||11:30||14:00||19:00||21:00||11:30||14:00||19:00||21:00||||||||||11:30||14:00||19:00||21:00||11:30||14:00||19:00||22:00||12:00||14:00||19:00||22:00||||||18:00||21:00;;;;;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.3753869, -1.2015573;Loire-Atlantique
Takamaka;Bar;;;3 Rue du Rempart;;72100;;;LE MANS;72181;48.0079761;0.1977021;;;07 65 67 80 74;;;https://takamakacocktailbar.fr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0079761, 0.1977021;Sarthe
TERRASSE GOURMANDE ÉCLUSE LA TINDIÈRE;Restaurant;Guinguette;;5 Sobidain;;44390;;;NORT-SUR-ERDRE;44110;47.4196916;-1.5359111;;06 70 04 45 09;;;eclusedelatindiere@gmail.com;https://www.eclusedelatindiere.com/;;"Facebook||https://www.facebook.com/EcluseTindiere ; Instagram||https://instagram.com/ecluse_tindiere/ ; Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g2544622-d12423335-Reviews-Ecluse_de_la_Tindiere-Nort_sur_Erdre_Loire_Atlantique_Pays_de_la_Loire.html";;;Guide du Routard Pays de la Loire;;;oui;;Accueil Vélo,La Vélodyssée;Service en terrasse,WiFi;30;;30;1;;"EV1-La Vélodyssée ; Régalante";Anglais,Espagnol,Français;oui;;;non;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.4196916, -1.5359111;Loire-Atlantique
Thaï L'Inde;Restaurant;Cuisine du Monde;;9 Rue des Deux Haies;;49100;;;ANGERS;49007;47.47171;-0.55282;;;02 41 24 75 79;;thailinde@yahoo.fr;http://www.thailinde.fr;;"Facebook||https://fr-fr.facebook.com/thailindeangers/ ; Instagram||https://instagram.com/thai_l_inde";;;Le petit futé;;;oui;;;Chaise haute / Réhausseur,Service en terrasse,WiFi;70;2;22;;;;Anglais,Français;oui;;6;;"01/01/2024||31/12/2024||||||||||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00|||||||| ; 01/01/2025||31/12/2025||||||||||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00|||||||| ; 01/01/2026||31/12/2026||||||||||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||||||||";;;;;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.47171, -0.55282;Maine-et-Loire
THE SLAB RESTAURANT & BAR;Restaurant;Cuisine traditionnelle;;19 Rue Fernand Nouvion;;44600;;;SAINT-NAZAIRE;44184;47.2858406;-2.3046182;Transport en commun||Ligne U4 - Arrêt Fresnel||0,6;;02 51 16 19 10;;info@gong-galaxy.com;https://www.gong-galaxy.com/pages/the-slab;;"Facebook||https://www.facebook.com/gong.sup/?locale=fr_FR ; Instagram||https://www.instagram.com/gong.galaxy/";;;;;;;;Maitres Restaurateurs;;;;;;;;;;;;oui;;;;;"Plats à la carte||16,00||23,00|| ; Menu enfant||10,00||||";Cartes bancaires,Espèces,Tickets Restaurant;47.2858406, -2.3046182;Loire-Atlantique
The wave;Restaurant;Brasserie;;7 quai St Pierre;;44420;;;LA TURBALLE;44211;47.34773;-2.51157;;;02 40 23 45 54;;thewave44@hotmail.com;;;;;;;;;oui;;;;34;;;;;;Anglais,Espagnol;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.34773, -2.51157;Loire-Atlantique
THE WORK CHOPE;Restaurant;Bistrot / bar à vin;;5 Rue Fernand Nouvion;;44600;;;SAINT-NAZAIRE;44184;47.28704;-2.30048;"Transport en commun||Ligne U4 - Arrêt ""Fresnel""||0,2";07 81 81 77 99;;;legeaykev@gmail.com;https://theworkchope.com/;;;;;;;;;;;Banquet;;;;;;;;;;;oui;;;;;Menu adulte du jour (midi en semaine)||16,90||18,90||;;47.28704, -2.30048;Loire-Atlantique
TI LICHOUS;;Cuisine traditionnelle;;12 rue Grande Biesse;;44200;;;NANTES;44109;47.2065326;-1.549111;;;02 40 35 44 60;;;http://www.ti-lichous.com;;;;;Les Tables de Nantes;;;;;;;;;;;;;;;;;;;;oui;||http://www.nantes-tourisme.com/book/556169||||||;;;47.2065326, -1.549111;Loire-Atlantique
